data_ajustada,lon_check,lat_check,tipo,_merge,data_no_geoJson,,Inclusao
,-34.8946,-8.0197,Automóveis e outros,left_only,data:”0\/10\/2014<”,,Incluso no csv de 2014 como 10/1/2014 (1270)
2017-06-27,-34.8818,-8.067,Atropelamentos,left_only,,,Incluso no csv de 2014 como 6/27/2014 (604)
,-34.9595,-8.0483,Atropelamentos,left_only,"data: ""30\/6\/2014<""",,Incluso no csv de 2014 como 6/30/2014 (623)
,-34.9215,-8.1074,Colisões,left_only,"data: ""25\/6\/2014<""",,Incluso no csv de 2014 como 6/25/2014 (602)
2014-01-08,-34.8793,-8.0508,Motocicleta,left_only,,,Não há
2014-01-20,-34.8931,-8.0354,Motocicleta,left_only,,,Não há
2014-01-16,-34.879,-8.0659,Pedestre,left_only,,,Não há
2014-01-19,-34.927,-8.1079,Pedestre,left_only,,,Não há
2014-01-26,-34.8972,-8.0637,Pedestre,left_only,,,Não há
,-34.938,-8.0007,Moto e Ciclomotor,left_only,data: “01\/09\/2-14”,,Incluso no csv de 2014 como 9/1/2014 (1060)
,-34.911,-8.0926,Moto e Ciclomotor,left_only,data: “05\/\/09\/201”,,Incluso no csv de 2014 como 9/5/2014 (1079)
2015-09-14,-34.8892,-8.0112,Ciclistas e pedestre,left_only,,,Incluso no csv de 2014 como 9/14/2014 (1128)
,-34.9061,-8.02,Ciclistas e pedestre,left_only,data:”23\/09\/214<”,,Incluso no csv de 2014 como 9/23/2014 (1205)
,-34.8904,-8.1126,Colisões,left_only,"data: ""Ponto 63<b""",,Incluso no csv de 2014 como 7/13/2014 (713)
pipelns/data/2014/dados_geojson
