"tipo";"data";"detalhes";"latitude";"longitude"
"Automóvel";"2015-04-01";"Carro";"-8.0716529";"-34.9440014"
"Automóvel";"2015-04-05";"Carro";"-8.0048103";"-34.9261325"
"Automóvel";"2015-04-05";"Carro";"-8.025636";"-34.9116084"
"Automóvel";"2015-04-08";"Carro";"-8.0357577";"-34.9475741"
"Automóvel";"2015-04-10";"Carro";"-8.0547839";"-34.8769676"
"Automóvel";"2015-04-11";"Carro";"-8.0709571";"-34.9286109"
"Automóvel";"2015-04-17";"Carro";"-8.0717299";"-34.9269024"
"Automóvel";"2015-04-18";"Carro";"-8.0482667";"-34.8967141"
"Automóvel";"2015-04-18";"Carro";"-8.0762876";"-34.8954467"
"Automóvel";"2015-04-18";"Carro";"-8.1049373";"-34.8868409"
"Automóvel";"2015-04-19";"Carro";"-8.0922973";"-34.9378216"
"Automóvel";"2015-04-19";"Carro";"-8.053318";"-34.9067415"
"Automóvel";"2015-04-21";"Carro";"-8.1266235";"-34.9095136"
"Automóvel";"2015-04-27";"Carro";"-8.062613";"-34.9131373"
"Automóvel";"2015-04-28";"Carro";"-8.0211023";"-34.9196604"
"Ciclista";"2015-04-02";"Ciclista";"-8.1173299";"-34.8966309"
"Ciclista";"2015-04-04";"Ciclista";"-8.0674038";"-34.8902312"
"Ciclista";"2015-04-05";"Ciclista";"-8.0360365";"-34.9070942"
"Ciclista";"2015-04-07";"Ciclista";"-8.0981818";"-34.8878735"
"Ciclista";"2015-04-12";"Ciclista";"-8.0190838";"-34.8938495"
"Ciclista";"2015-04-14";"Ciclista";"-8.0439005";"-34.9328461"
"Ciclista";"2015-04-25";"Ciclista";"-8.0803474";"-34.9095297"
"Ciclista";"2015-04-28";"Ciclista";"-8.0485216";"-34.8776409"
"Ciclomotor";"2015-04-06";"Ciclomotor";"-8.0772084";"-34.9806753"
"Ciclomotor";"2015-04-12";"Ciclomotor";"-8.0808891";"-34.919419"
"Ciclomotor";"2015-04-13";"Ciclomotor";"-8.143508";"-34.9082878"
"Ciclomotor";"2015-04-14";"Ciclomotor";"-8.031256";"-34.916136"
"Ciclomotor";"2015-04-14";"Ciclomotor";"-8.0624829";"-34.8807603"
"Ciclomotor";"2015-04-16";"Ciclomotor";"-7.9937476";"-34.9353433"
"Ciclomotor";"2015-04-18";"Ciclomotor";"-8.0453559";"-34.9304107"
"Ciclomotor";"2015-04-18";"Ciclomotor";"-8.0354443";"-34.9204114"
"Ciclomotor";"2015-04-18";"Ciclomotor";"-8.0742952";"-34.9224687"
"Ciclomotor";"2015-04-20";"Ciclomotor";"-8.0233493";"-34.9305314"
"Ciclomotor";"2015-04-21";"Ciclomotor";"-8.0652275";"-34.9080317"
"Ciclomotor";"2015-04-23";"Ciclomotor";"-8.0906163";"-34.909232"
"Ciclomotor";"2015-04-23";"Ciclomotor";"-8.0384295";"-34.8793441"
"Ciclomotor";"2015-04-24";"Ciclomotor";"-8.115349";"-34.900555"
"Ciclomotor";"2015-04-24";"Ciclomotor";"-8.090534";"-34.9077407"
"Motocicleta";"2015-04-01";"Moto";"-8.0303902";"-34.9249819"
"Motocicleta";"2015-04-01";"Moto";"-8.0539859";"-34.9068059"
"Motocicleta";"2015-04-01";"Moto";"-8.0711589";"-34.9094827"
"Motocicleta";"2015-04-01";"Moto";"-8.0712731";"-34.8833835"
"Motocicleta";"2015-04-02";"Moto";"-8.035601";"-34.9071425"
"Motocicleta";"2015-04-02";"Moto";"-8.0238818";"-34.8972559"
"Motocicleta";"2015-04-02";"Moto";"-8.0925429";"-34.911025"
"Motocicleta";"2015-04-02";"Moto";"-8.108145";"-34.9153125"
"Motocicleta";"2015-04-03";"Moto";"-8.1207619";"-34.8953797"
"Motocicleta";"2015-04-04";"Moto";"-8.0394122";"-34.9407774"
"Motocicleta";"2015-04-04";"Moto";"-8.1060532";"-34.8890349"
"Motocicleta";"2015-04-04";"Moto";"-8.0268073";"-34.8982966"
"Motocicleta";"2015-04-04";"Moto";"-8.1423822";"-34.9106294"
"Motocicleta";"2015-04-04";"Moto";"-8.1211934";"-34.9039453"
"Motocicleta";"2015-04-04";"Moto";"-8.1213633";"-34.9039561"
"Motocicleta";"2015-04-05";"Moto";"-8.052808";"-34.880814"
"Motocicleta";"2015-04-05";"Moto";"-8.0072831";"-34.9026632"
"Motocicleta";"2015-04-06";"Moto";"-8.0118196";"-34.8892777"
"Motocicleta";"2015-04-06";"Moto";"-8.0903535";"-34.9295712"
"Motocicleta";"2015-04-06";"Moto";"-8.0306929";"-34.8946354"
"Motocicleta";"2015-04-06";"Moto";"-8.1398067";"-34.9074966"
"Motocicleta";"2015-04-07";"Moto";"-8.0596439";"-34.8975563"
"Motocicleta";"2015-04-07";"Moto";"-8.0703091";"-34.8806477"
"Motocicleta";"2015-04-08";"Moto";"-8.1114164";"-34.8928678"
"Motocicleta";"2015-04-08";"Moto";"-8.1000752";"-34.9102941"
"Motocicleta";"2015-04-08";"Moto";"-8.0701179";"-34.9329829"
"Motocicleta";"2015-04-09";"Moto";"-8.0585976";"-34.9251616"
"Motocicleta";"2015-04-09";"Moto";"-8.0330965";"-34.9104953"
"Motocicleta";"2015-04-09";"Moto";"-8.1119263";"-34.9265349"
"Motocicleta";"2015-04-09";"Moto";"-8.1430195";"-34.9092883"
"Motocicleta";"2015-04-09";"Moto";"-8.0783663";"-34.8925191"
"Motocicleta";"2015-04-10";"Moto";"-8.0983996";"-34.8838127"
"Motocicleta";"2015-04-10";"Moto";"-8.0358002";"-34.8699349"
"Motocicleta";"2015-04-10";"Moto";"-8.0514828";"-34.8938468"
"Motocicleta";"2015-04-10";"Moto";"-8.051836";"-34.8947614"
"Motocicleta";"2015-04-10";"Moto";"-8.0526009";"-34.8923206"
"Motocicleta";"2015-04-10";"Moto";"-8.0297129";"-34.9578899"
"Motocicleta";"2015-04-11";"Moto";"-8.1139019";"-34.9392647"
"Motocicleta";"2015-04-11";"Moto";"-8.0651253";"-34.9271464"
"Motocicleta";"2015-04-11";"Moto";"-8.021267";"-34.9174315"
"Motocicleta";"2015-04-11";"Moto";"-8.0272429";"-34.8966336"
"Motocicleta";"2015-04-12";"Moto";"-8.1120484";"-34.9066865"
"Motocicleta";"2015-04-12";"Moto";"-8.0362411";"-34.920001"
