"tipo";"data";"detalhes";"latitude";"longitude"
"Automóvel";"2015-05-02";"Carro";"-8.0358533";"-34.9201405"
"Automóvel";"2015-05-10";"Carro";"-8.1161111";"-34.9008286"
"Automóvel";"2015-05-11";"Carro";"-8.1124149";"-34.9406004"
"Automóvel";"2015-05-12";"Carro";"-8.1031395";"-34.8877046"
"Automóvel";"2015-05-16";"Carro";"-8.0409579";"-34.9087411"
"Automóvel";"2015-05-17";"Carro";"-8.1363815";"-34.901695"
"Automóvel";"2015-05-17";"Carro";"-8.1309197";"-34.8999944"
"Automóvel";"2015-05-20";"Carro";"-8.0372822";"-34.9730229"
"Automóvel";"2015-05-23";"Carro";"-8.0297262";"-34.9005711"
"Ciclista";"2015-05-08";"Ciclista";"-8.1405767";"-34.9281523"
"Ciclista";"2015-05-09";"Ciclista";"-8.1126804";"-34.932189"
"Ciclista";"2015-05-09";"Ciclista";"-8.0109192";"-34.8843384"
"Ciclista";"2015-05-09";"Ciclista";"-8.0254156";"-34.8844457"
"Ciclista";"2015-05-18";"Ciclista";"-8.1086867";"-34.8913014"
"Ciclista";"2015-05-18";"Ciclista";"-8.0843307";"-34.9272162"
"Ciclista";"2015-05-20";"Ciclista";"-8.0580346";"-34.879847"
"Ciclista";"2015-05-20";"Ciclista";"-8.0580863";"-34.9081711"
"Ciclista";"2015-05-22";"Ciclista";"-8.0503568";"-34.8868033"
"Ciclomotor";"2015-05-02";"Ciclomotor";"-8.0566536";"-34.8863098"
"Ciclomotor";"2015-05-03";"Ciclomotor";"-8.0436881";"-34.9330902"
"Ciclomotor";"2015-05-03";"Ciclomotor";"-8.1348242";"-34.9134256"
"Ciclomotor";"2015-05-05";"Ciclomotor";"-8.0775218";"-34.8993158"
"Ciclomotor";"2015-05-08";"Ciclomotor";"-8.0413377";"-34.9451092"
"Ciclomotor";"2015-05-08";"Ciclomotor";"-8.0268179";"-34.8931468"
"Ciclomotor";"2015-05-08";"Ciclomotor";"-8.0795932";"-34.9339619"
"Ciclomotor";"2015-05-09";"Ciclomotor";"-8.0297129";"-34.9583191"
"Ciclomotor";"2015-05-11";"Ciclomotor";"-8.0500434";"-34.9065122"
"Ciclomotor";"2015-05-12";"Ciclomotor";"-8.0846812";"-34.928112"
"Ciclomotor";"2015-05-18";"Ciclomotor";"-8.1132413";"-34.8921644"
"Ciclomotor";"2015-05-20";"Ciclomotor";"-8.0337897";"-34.8857251"
