X,Y,Z,tipo,data,detalhes,longitude,latitude
-34.9244964,-7.96481849999998,0,Motocicleta,01/02/2015,Moto,-34.924496,-7.964818
-34.9370921,-8.1254737,0,Motocicleta,01/02/2015,Moto,-34.937092,-8.125474
-34.905273,-8.03439919999994,0,Motocicleta,02/02/2015,Moto,-34.905273,-8.034399
-34.8894989,-8.0750096,0,Motocicleta,02/02/2015,Moto,-34.889499,-8.07501
-34.9277312,-8.06712769999996,0,Motocicleta,02/02/2015,Moto,-34.927731,-8.067128
-34.8925485999999,-8.04233619999997,0,Motocicleta,02/02/2015,Moto,-34.892549,-8.042336
-34.8963413,-8.04559489999997,0,Motocicleta,02/02/2015,Moto,-34.896341,-8.045595
-34.8895123999999,-8.01376379999994,0,Motocicleta,03/02/2015,Moto,-34.889512,-8.013764
-34.9173241999999,-8.02912329999998,0,Motocicleta,03/02/2015,Moto,-34.917324,-8.029123
-34.9253881999999,-8.02987089999993,0,Motocicleta,03/02/2015,Moto,-34.925388,-8.029871
-34.9194646,-8.03727949999995,0,Motocicleta,03/02/2015,Moto,-34.919465,-8.037279
-34.9107205999999,-8.06243239999998,0,Motocicleta,03/02/2015,Moto,-34.910721,-8.062432
-34.9057612,-8.03551069999997,0,Motocicleta,03/02/2015,Moto,-34.905761,-8.035511
-34.9430144,-8.05537349999997,0,Motocicleta,04/02/2015,Moto,-34.943014,-8.055373
-34.8972532,-8.05398989999998,0,Motocicleta,04/02/2015,Moto,-34.897253,-8.05399
-34.9233806,-8.03246439999998,0,Motocicleta,04/02/2015,Moto,-34.923381,-8.032464
-34.9115467,-8.0674251,0,Motocicleta,04/02/2015,Moto,-34.911547,-8.067425
-34.9200976,-8.01268549999998,0,Motocicleta,04/02/2015,Moto,-34.920098,-8.012685
-34.8922562999999,-8.017376,0,Motocicleta,05/02/2015,Moto,-34.892256,-8.017376
-34.9096584,-8.06219869999995,0,Motocicleta,05/02/2015,Moto,-34.909658,-8.062199
-34.8847446999999,-8.04226589999996,0,Motocicleta,06/02/2015,Moto,-34.884745,-8.042266
-34.8980766999999,-8.05922959999998,0,Motocicleta,06/02/2015,Moto,-34.898077,-8.05923
-34.896647,-8.05318249999993,0,Motocicleta,06/02/2015,Moto,-34.896647,-8.053182
-34.9050987,-8.01290059999997,0,Motocicleta,06/02/2015,Moto,-34.905099,-8.012901
-34.9137971,-8.06484909999995,0,Motocicleta,06/02/2015,Moto,-34.913797,-8.064849
-34.9098006,-8.06828289999993,0,Motocicleta,06/02/2015,Moto,-34.909801,-8.068283
-34.9218222,-8.0517457,0,Motocicleta,06/02/2015,Moto,-34.921822,-8.051746
-34.9388891,-8.11333889999997,0,Motocicleta,06/02/2015,Moto,-34.938889,-8.113339
-34.9576297,-8.03021219999994,0,Motocicleta,06/02/2015,Moto,-34.95763,-8.030212
-34.8727512,-8.04171209999993,0,Motocicleta,06/02/2015,Moto,-34.872751,-8.041712
-34.8929188,-8.07547959999994,0,Motocicleta,06/02/2015,Moto,-34.892919,-8.07548
-34.8934351,-8.00510109999993,0,Motocicleta,07/02/2015,Moto,-34.893435,-8.005101
-34.929598,-8.08529729999998,0,Motocicleta,07/02/2015,Moto,-34.929598,-8.085297
-34.9095069,-8.08029819999996,0,Motocicleta,07/02/2015,Moto,-34.909507,-8.080298
-34.883759,-8.09174229999996,0,Motocicleta,07/02/2015,Moto,-34.883759,-8.091742
-34.9249738,-8.10764579999994,0,Motocicleta,07/02/2015,Moto,-34.924974,-8.107646
-34.9146365999999,-8.10675889999993,0,Motocicleta,08/02/2015,Moto,-34.914637,-8.106759
-34.8821081,-8.0679921,0,Motocicleta,08/02/2015,Moto,-34.882108,-8.067992
-34.9360648,-8.09173169999997,0,Motocicleta,08/02/2015,Moto,-34.936065,-8.091732
-34.9242523,-8.06078319999995,0,Motocicleta,09/02/2015,Moto,-34.924252,-8.060783
-34.8955526999999,-8.00459519999993,0,Motocicleta,09/02/2015,Moto,-34.895553,-8.004595
-34.8827934,-8.05700149999996,0,Motocicleta,10/02/2015,Moto,-34.882793,-8.057001
-34.8868623,-8.105001,0,Motocicleta,10/02/2015,Moto,-34.886862,-8.105001
-34.9022957999999,-8.01468279999995,0,Motocicleta,10/02/2015,Moto,-34.902296,-8.014683
-34.8980579,-8.05575329999994,0,Motocicleta,10/02/2015,Moto,-34.898058,-8.055753
-34.8977601,-8.06232879999993,0,Motocicleta,11/02/2015,Moto,-34.89776,-8.062329
-34.8793441,-8.08817059999996,0,Motocicleta,11/02/2015,Moto,-34.879344,-8.088171
-34.8932272,-8.0766826,0,Motocicleta,11/02/2015,Moto,-34.893227,-8.076683
-34.8784616999999,-8.06408159999995,0,Motocicleta,11/02/2015,Moto,-34.878462,-8.064082
-34.8947883,-8.11830439999994,0,Motocicleta,11/02/2015,Moto,-34.894788,-8.118304
-34.9149773,-8.10708019999993,0,Motocicleta,11/02/2015,Moto,-34.914977,-8.10708
-34.8856231999999,-8.05556739999997,0,Motocicleta,12/02/2015,Moto,-34.885623,-8.055567
-34.8928759,-8.04813649999994,0,Motocicleta,12/02/2015,Moto,-34.892876,-8.048136
-34.8798563999999,-8.04695069999997,0,Motocicleta,12/02/2015,Moto,-34.879856,-8.046951
-34.8950766,-8.05146559999997,0,Motocicleta,12/02/2015,Moto,-34.895077,-8.051466
-34.9077755,-8.06179769999994,0,Motocicleta,12/02/2015,Moto,-34.907775,-8.061798
-34.9240242999999,-8.04872079999996,0,Motocicleta,12/02/2015,Moto,-34.924024,-8.048721
-34.8768201,-8.04262569999997,0,Motocicleta,13/02/2015,Moto,-34.87682,-8.042626
-34.8924868999999,-8.07754839999996,0,Motocicleta,13/02/2015,Moto,-34.892487,-8.077548
-34.9867343999999,-8.06350529999997,0,Motocicleta,13/02/2015,Moto,-34.986734,-8.063505
-34.9113348,-8.08031549999993,0,Motocicleta,14/02/2015,Moto,-34.911335,-8.080315
-34.9295872,-8.01440389999993,0,Motocicleta,15/02/2015,Moto,-34.929587,-8.014404
-34.9067831,-8.05814739999994,0,Motocicleta,15/02/2015,Moto,-34.906783,-8.058147
-34.9530432,-8.08605679999994,0,Motocicleta,16/02/2015,Moto,-34.953043,-8.086057
-34.9091528,-8.04749649999997,0,Motocicleta,18/02/2015,Moto,-34.909153,-8.047496
-34.920119,-8.03596489999995,0,Motocicleta,18/02/2015,Moto,-34.920119,-8.035965
-34.9128502999999,-8.03563819999994,0,Motocicleta,18/02/2015,Moto,-34.91285,-8.035638
-34.8912450999999,-8.08737129999997,0,Motocicleta,18/09/2015,Moto,-34.891245,-8.087371
-34.8829034,-8.05772909999996,0,Motocicleta,19/02/2015,Moto,-34.882903,-8.057729
-34.888359,-8.04393769999996,0,Motocicleta,19/02/2015,Moto,-34.888359,-8.043938
-34.893136,-8.02689229999993,0,Motocicleta,19/02/2015,Moto,-34.893136,-8.026892
-34.9349650999999,-8.05231139999995,0,Motocicleta,19/02/2015,Moto,-34.934965,-8.052311
-34.9222407,-8.05243089999993,0,Motocicleta,19/02/2015,Moto,-34.922241,-8.052431
-34.9298446999999,-8.08866719999997,0,Motocicleta,19/02/2015,Moto,-34.929845,-8.088667
-34.9086553,-8.05353039999994,0,Motocicleta,19/02/2015,Moto,-34.908655,-8.05353
-34.9253735,-8.04817639999993,0,Motocicleta,20/02/2015,Moto,-34.925373,-8.048176
-34.9453184,-8.08178929999997,0,Motocicleta,20/02/2015,Moto,-34.945318,-8.081789
-34.8781236999999,-8.0540363,0,Motocicleta,21/02/2015,Moto,-34.878124,-8.054036
-34.9342248,-8.08993119999997,0,Motocicleta,21/02/2015,Moto,-34.934225,-8.089931
-34.9138856,-8.02748989999998,0,Motocicleta,22/02/2015,Moto,-34.913886,-8.02749
-34.9163316999999,-8.13217029999993,0,Motocicleta,22/02/2015,Moto,-34.916332,-8.13217
-34.8725097999999,-8.0585923,0,Motocicleta,22/02/2015,Moto,-34.87251,-8.058592
-34.9319449,-8.06979129999996,0,Motocicleta,22/02/2015,Moto,-34.931945,-8.069791
-34.8901695,-8.07455279999994,0,Motocicleta,22/02/2015,Moto,-34.890169,-8.074553
-34.9298018,-8.03915719999998,0,Motocicleta,22/02/2015,Moto,-34.929802,-8.039157
-34.9280396,-8.02776079999995,0,Motocicleta,23/02/2015,Moto,-34.92804,-8.027761
-34.8901963,-8.0467635,0,Motocicleta,23/02/2015,Moto,-34.890196,-8.046763
-34.8996592,-8.12326989999997,0,Motocicleta,23/02/2015,Moto,-34.899659,-8.12327
-34.9157068,-8.10810779999997,0,Motocicleta,24/02/2015,Moto,-34.915707,-8.108108
-34.9021187,-8.05839439999994,0,Motocicleta,24/02/2015,Moto,-34.902119,-8.058394
-34.8936778,-8.0213493,0,Motocicleta,25/02/2015,Moto,-34.893678,-8.021349
-34.9077862999999,-8.15109109999997,0,Motocicleta,25/02/2014,Moto,-34.907786,-8.151091
-34.9068958,-8.05481849999995,0,Motocicleta,26/02/2015,Moto,-34.906896,-8.054818
-34.8756346,-8.031661,0,Motocicleta,26/02/2015,Moto,-34.875635,-8.031661
-34.9287437,-8.09562729999993,0,Motocicleta,27/02/2015,Moto,-34.928744,-8.095627
-34.8720994999999,-8.05134469999996,0,Motocicleta,27/02/2015,Moto,-34.872099,-8.051345
-34.8815556,-8.05398449999996,0,Motocicleta,27/02/2015,Moto,-34.881556,-8.053984
-34.9319047,-8.03803639999995,0,Motocicleta,27/02/2015,Moto,-34.931905,-8.038036
-34.909409,-8.09467,0,Motocicleta,27/02/2015,Moto,-34.909409,-8.09467
-34.8973015,-8.06245369999993,0,Motocicleta,27/02/2015,Moto,-34.897301,-8.062454
-34.8975429,-8.02563339999995,0,Motocicleta,27/02/2015,Moto,-34.897543,-8.025633
-34.9059516,-8.06008469999995,0,Motocicleta,27/02/2015,Moto,-34.905952,-8.060085
-34.8954588,-8.07627629999996,0,Motocicleta,28/02/2015,Moto,-34.895459,-8.076276
-34.9471611,-8.09246719999993,0,Ciclomotor,03/02/2015,Ciclomotor,-34.947161,-8.092467
-34.9287504,-8.09684879999998,0,Ciclomotor,04/02/2015,Ciclomotor,-34.92875,-8.096849
-34.9577183,-8.03006349999993,0,Ciclomotor,04/02/2015,Ciclomotor,-34.957718,-8.030063
-34.9457609,-8.07500429999993,0,Ciclomotor,05/02/2015,Ciclomotor,-34.945761,-8.075004
-34.8961722999999,-8.020927,0,Ciclomotor,08/02/2015,Ciclomotor,-34.896172,-8.020927
-34.8936591,-8.11453119999993,0,Ciclomotor,13/02/2015,Ciclomotor,-34.893659,-8.114531
-34.9039157999999,-8.12242279999998,0,Ciclomotor,15/02/2015,Ciclomotor,-34.903916,-8.122423
-34.8888082999999,-8.0613051,0,Ciclomotor,19/02/2015,Ciclomotor,-34.888808,-8.061305
-34.9418449,-8.05612769999993,0,Ciclomotor,23/02/2015,Ciclomotor,-34.941845,-8.056128
-34.8941015999999,-8.0767145,0,Ciclomotor,23/02/2015,Ciclomotor,-34.894102,-8.076714
-34.9000829,-8.061973,0,Ciclomotor,26/02/2015,Ciclomotor,-34.900083,-8.061973
-34.8837563,-8.05260749999997,0,Ciclista,11/02/2015,Ciclista,-34.883756,-8.052607
-34.8827049,-8.06389039999993,0,Ciclista,13/02/2015,Ciclista,-34.882705,-8.06389
-34.9149424,-8.04858009999998,0,Ciclista,14/02/2015,Ciclista,-34.914942,-8.04858
-34.8741835,-8.03777619999994,0,Ciclista,19/02/2015,Ciclista,-34.874183,-8.037776
-34.914819,-8.01325119999996,0,Ciclista,23/02/2015,Ciclista,-34.914819,-8.013251
-34.9081348999999,-8.02947919999997,0,Ciclista,28/02/2015,Ciclista,-34.908135,-8.029479
-34.8915911,-8.01655259999995,0,Pedestre,01/02/2015,Pedestre,-34.891591,-8.016553
-34.9213247,-8.01919669999995,0,Pedestre,03/02/2015,Pedestre,-34.921325,-8.019197
-34.8926344999999,-8.05660979999993,0,Pedestre,06/02/2015,Pedestre,-34.892634,-8.05661
-34.8926264,-8.037978,0,Pedestre,07/02/2015,Pedestre,-34.892626,-8.037978
-34.8928208999999,-8.0438381,0,Pedestre,09/02/2015,Pedestre,-34.892821,-8.043838
-34.9015367,-8.13206279999997,0,Pedestre,10/02/2015,Pedestre,-34.901537,-8.132063
-34.8949813999999,-8.05085339999994,0,Pedestre,11/02/2015,Pedestre,-34.894981,-8.050853
-34.8926612999999,-8.05669079999996,0,Pedestre,14/02/2015,Pedestre,-34.892661,-8.056691
-34.9348497,-8.06359289999995,0,Pedestre,15/02/2015,Pedestre,-34.93485,-8.063593
-34.9329695,-8.08264179999998,0,Pedestre,17/02/2015,Pedestre,-34.932969,-8.082642
-34.939329,-8.031819,0,Pedestre,17/02/2015,Pedestre,-34.939329,-8.031819
-34.8795800999999,-8.06325829999997,0,Pedestre,19/02/2015,Pedestre,-34.87958,-8.063258
-34.9181047,-8.05218129999997,0,Pedestre,23/02/2015,Pedestre,-34.918105,-8.052181
-34.9284339,-8.09770379999998,0,Pedestre,24/02/2015,Pedestre,-34.928434,-8.097704
-34.9193572999999,-8.05132079999993,0,Pedestre,27/02/2015,Pedestre,-34.919357,-8.051321
-34.9043154999999,-8.02700389999995,0,Pedestre,28/02/2015,Pedestre,-34.904315,-8.027004
-34.9175655999999,-8.02129359999998,0,Automóveis,02/02/2015,Táxi,-34.917566,-8.021294
-34.9075716999999,-8.01971589999994,0,Automóveis,02/02/2015,Táxi,-34.907572,-8.019716
-34.8927846999999,-8.06578649999994,0,Automóveis,05/02/2015,Táxi,-34.892785,-8.065786
-34.8949304,-8.05158909999994,0,Automóveis,05/02/2015,Táxi,-34.89493,-8.051589
