X,Y,Z,tipo,data,detalhes,longitude,latitude
-34.9004853,-8.02961729999993,0,Motocicleta,01/03/2015,Moto,-34.900485,-8.029617
-34.9058712,-8.0777475,0,Motocicleta,01/03/2015,Moto,-34.905871,-8.077747
-34.9095457999999,-8.046312,0,Motocicleta,02/03/2015,Moto,-34.909546,-8.046312
-34.9360675,-8.09169709999998,0,Motocicleta,03/03/2015,Moto,-34.936067,-8.091697
-34.8985058,-8.03104619999993,0,Motocicleta,03/03/2015,Moto,-34.898506,-8.031046
-34.9242899,-8.109008,0,Motocicleta,03/03/2015,Moto,-34.92429,-8.109008
-34.9102162999999,-8.0989041,0,Motocicleta,03/03/2015,Moto,-34.910216,-8.098904
-34.9523646,-8.01793109999994,0,Motocicleta,03/03/2015,Moto,-34.952365,-8.017931
-34.873057,-8.03722909999993,0,Motocicleta,03/03/2015,Moto,-34.873057,-8.037229
-34.8721638,-8.03680939999998,0,Motocicleta,03/03/2015,Moto,-34.872164,-8.036809
-34.9184023999999,-8.10978339999997,0,Motocicleta,04/03/2015,Moto,-34.918402,-8.109783
-34.9614854,-8.09208349999994,0,Motocicleta,04/03/2015,Moto,-34.961485,-8.092083
-34.8976167,-8.06350529999997,0,Motocicleta,05/03/2015,Moto,-34.897617,-8.063505
-34.8908145999999,-8.04626549999995,0,Motocicleta,05/03/2015,Moto,-34.890815,-8.046265
-34.8942544999999,-8.05606129999995,0,Motocicleta,05/03/2015,Moto,-34.894254,-8.056061
-34.9511575999999,-8.09085,0,Motocicleta,05/03/2015,Moto,-34.951158,-8.09085
-34.8818171,-8.04973,0,Motocicleta,05/03/2015,Moto,-34.881817,-8.04973
-34.8930286999999,-8.01876239999996,0,Motocicleta,05/03/2015,Moto,-34.893029,-8.018762
-34.9002652999999,-8.02939419999996,0,Motocicleta,06/03/2015,Moto,-34.900265,-8.029394
-34.9085345999999,-8.13536459999995,0,Motocicleta,06/03/2015,Moto,-34.908535,-8.135365
-34.9157068,-8.07569739999997,0,Motocicleta,06/03/2015,Moto,-34.915707,-8.075697
-34.9451548,-8.11830969999994,0,Motocicleta,08/03/2015,Moto,-34.945155,-8.11831
-34.9249899,-8.041813,0,Motocicleta,09/03/2015,Moto,-34.92499,-8.041813
-34.9331974999999,-8.04367739999998,0,Motocicleta,09/03/2015,Moto,-34.933197,-8.043677
-34.9003713,-8.02967169999994,0,Motocicleta,09/03/2015,Moto,-34.900371,-8.029672
-34.8919854,-8.03857159999995,0,Motocicleta,09/03/2015,Moto,-34.891985,-8.038572
-34.9279134999999,-8.08464409999993,0,Motocicleta,09/03/2015,Moto,-34.927913,-8.084644
-34.9217391,-8.00478369999996,0,Motocicleta,10/03/2015,Moto,-34.921739,-8.004784
-34.8858913999999,-8.04139339999995,0,Motocicleta,10/03/2015,Moto,-34.885891,-8.041393
-34.9342435999999,-8.07848839999997,0,Motocicleta,10/03/2015,Moto,-34.934244,-8.078488
-34.9343079,-8.08999759999995,0,Motocicleta,10/03/2015,Moto,-34.934308,-8.089998
-34.8959348999999,-8.05231409999993,0,Motocicleta,10/03/2015,Moto,-34.895935,-8.052314
-34.9584692999999,-8.02962259999993,0,Motocicleta,10/03/2015,Moto,-34.958469,-8.029623
-34.9434434999999,-8.119879,0,Motocicleta,10/03/2015,Moto,-34.943443,-8.119879
-34.8965102,-8.11740429999998,0,Motocicleta,10/03/2015,Moto,-34.89651,-8.117404
-34.9195477,-8.03228119999994,0,Motocicleta,11/03/2015,Moto,-34.919548,-8.032281
-34.8932379,-8.02159629999994,0,Motocicleta,11/03/2015,Moto,-34.893238,-8.021596
-34.9232264,-8.05418769999994,0,Motocicleta,11/03/2015,Moto,-34.923226,-8.054188
-34.8942061999999,-8.02169329999998,0,Motocicleta,11/03/2015,Moto,-34.894206,-8.021693
-34.9412816999999,-8.13422549999996,0,Motocicleta,11/03/2015,Moto,-34.941282,-8.134225
-34.8710265999999,-8.03922889999996,0,Motocicleta,11/03/2015,Moto,-34.871027,-8.039229
-34.91833,-8.02368129999996,0,Motocicleta,11/03/2015,Moto,-34.91833,-8.023681
-34.904345,-8.07949489999993,0,Motocicleta,11/03/2015,Moto,-34.904345,-8.079495
-34.8898838,-8.11167,0,Motocicleta,13/03/2015,Moto,-34.889884,-8.11167
-34.9597916,-8.0517776,0,Motocicleta,13/03/2015,Moto,-34.959792,-8.051778
-34.8871386,-8.10000349999996,0,Motocicleta,13/03/2015,Moto,-34.887139,-8.100003
-34.8976019,-8.06642389999996,0,Motocicleta,13/03/2015,Moto,-34.897602,-8.066424
-34.8936778,-8.11454579999997,0,Motocicleta,13/03/2015,Moto,-34.893678,-8.114546
-34.90913,-8.10947269999997,0,Motocicleta,13/03/2015,Moto,-34.90913,-8.109473
-34.9272121,-8.10695409999994,0,Motocicleta,13/03/2015,Moto,-34.927212,-8.106954
-34.8938118999999,-8.06729229999996,0,Motocicleta,13/03/2015,Moto,-34.893812,-8.067292
-34.8940264999999,-8.03447229999995,0,Motocicleta,13/03/2015,Moto,-34.894026,-8.034472
-34.9265054,-8.05455159999997,0,Motocicleta,13/03/2015,Moto,-34.926505,-8.054552
-34.9490117999999,-8.12786349999993,0,Motocicleta,13/03/2015,Moto,-34.949012,-8.127863
-34.9107124999999,-8.06241119999993,0,Motocicleta,14/03/2015,Moto,-34.910712,-8.062411
-34.9086955,-8.02912729999997,0,Motocicleta,14/03/2015,Moto,-34.908695,-8.029127
-34.9007267,-8.02979119999998,0,Motocicleta,14/03/2015,Moto,-34.900727,-8.029791
-34.9088725,-8.052423,0,Motocicleta,15/03/2015,Moto,-34.908872,-8.052423
-34.951627,-8.01642249999998,0,Motocicleta,15/03/2015,Moto,-34.951627,-8.016422
-34.9081671,-8.14139049999994,0,Motocicleta,15/03/2015,Moto,-34.908167,-8.14139
-34.9177104,-8.140513,0,Motocicleta,15/03/2015,Moto,-34.91771,-8.140513
-34.9023253,-8.11228209999996,0,Motocicleta,15/03/2015,Moto,-34.902325,-8.112282
-34.9265081,-8.06284669999997,0,Motocicleta,16/03/2015,Moto,-34.926508,-8.062847
-34.9092722,-8.07113769999995,0,Motocicleta,16/03/2015,Moto,-34.909272,-8.071138
