sk_local;bairro;endereco;latitude;longitude
1;NÃO INFORMADO;NÃO INFORMADO;-8.029113;-34.925988
2;NÃO INFORMADO;NÃO INFORMADO;-8.020438;-34.903339
3;NÃO INFORMADO;NÃO INFORMADO;-8.034818;-34.949516
4;NÃO INFORMADO;NÃO INFORMADO;-8.011427;-34.924636
5;NÃO INFORMADO;NÃO INFORMADO;-8.016449;-34.941486
6;NÃO INFORMADO;NÃO INFORMADO;-8.115814;-34.895518
7;NÃO INFORMADO;NÃO INFORMADO;-8.115803;-34.895561
8;NÃO INFORMADO;NÃO INFORMADO;-8.069481;-34.932779
9;NÃO INFORMADO;NÃO INFORMADO;-8.061715;-34.876217
10;NÃO INFORMADO;NÃO INFORMADO;-8.021134;-34.886355
11;NÃO INFORMADO;NÃO INFORMADO;-8.095959;-34.911858
12;NÃO INFORMADO;NÃO INFORMADO;-8.056723;-34.879929
13;NÃO INFORMADO;NÃO INFORMADO;-8.026011;-34.917791
14;NÃO INFORMADO;NÃO INFORMADO;-8.039858;-34.878695
15;NÃO INFORMADO;NÃO INFORMADO;-8.034456;-34.949956
16;NÃO INFORMADO;NÃO INFORMADO;-8.078228;-34.89908
17;NÃO INFORMADO;NÃO INFORMADO;-8.066262;-34.882665
18;NÃO INFORMADO;NÃO INFORMADO;-8.019902;-34.890389
19;NÃO INFORMADO;NÃO INFORMADO;-8.02311;-34.918655
20;NÃO INFORMADO;NÃO INFORMADO;-8.097728;-34.928455
21;NÃO INFORMADO;NÃO INFORMADO;-8.082605;-34.932878
22;NÃO INFORMADO;NÃO INFORMADO;-8.049945;-34.873803
23;NÃO INFORMADO;NÃO INFORMADO;-8.055097;-34.879913
24;NÃO INFORMADO;NÃO INFORMADO;-8.108453;-34.890121
25;NÃO INFORMADO;NÃO INFORMADO;-8.132221;-34.899992
26;NÃO INFORMADO;NÃO INFORMADO;-8.04236;-34.924003
27;NÃO INFORMADO;NÃO INFORMADO;-8.08602;-34.937929
