sk_tempo;data;hora;ano;mes;dia;fim_de_semana;data_acidente;dia_semana
1;2014-02-24;;2014;2;24;Não;2014-02-24;Segunda-feira
2;2014-02-28;;2014;2;28;Não;2014-02-28;Sexta-feira
3;2014-03-01;;2014;3;1;Sim;2014-03-01;Sábado
4;2014-03-02;;2014;3;2;Sim;2014-03-02;Domingo
5;2014-03-03;;2014;3;3;Não;2014-03-03;Segunda-feira
6;2014-03-04;;2014;3;4;Não;2014-03-04;Terça-feira
7;2014-03-05;;2014;3;5;Não;2014-03-05;Quarta-feira
8;2014-03-06;;2014;3;6;Não;2014-03-06;Quinta-feira
9;2014-03-07;;2014;3;7;Não;2014-03-07;Sexta-feira
10;2014-03-09;;2014;3;9;Sim;2014-03-09;Domingo
11;2014-03-10;;2014;3;10;Não;2014-03-10;Segunda-feira
12;2014-03-11;;2014;3;11;Não;2014-03-11;Terça-feira
13;2014-03-12;;2014;3;12;Não;2014-03-12;Quarta-feira
14;2014-03-13;;2014;3;13;Não;2014-03-13;Quinta-feira
15;2014-03-14;;2014;3;14;Não;2014-03-14;Sexta-feira
16;2014-03-15;;2014;3;15;Sim;2014-03-15;Sábado
17;2014-03-16;;2014;3;16;Sim;2014-03-16;Domingo
18;2014-03-17;;2014;3;17;Não;2014-03-17;Segunda-feira
19;2014-03-18;;2014;3;18;Não;2014-03-18;Terça-feira
20;2014-03-19;;2014;3;19;Não;2014-03-19;Quarta-feira
21;2014-03-20;;2014;3;20;Não;2014-03-20;Quinta-feira
22;2014-03-21;;2014;3;21;Não;2014-03-21;Sexta-feira
23;2014-03-22;;2014;3;22;Sim;2014-03-22;Sábado
24;2014-03-23;;2014;3;23;Sim;2014-03-23;Domingo
25;2014-03-25;;2014;3;25;Não;2014-03-25;Terça-feira
26;2014-03-26;;2014;3;26;Não;2014-03-26;Quarta-feira
27;2014-03-28;;2014;3;28;Não;2014-03-28;Sexta-feira
28;2014-03-29;;2014;3;29;Sim;2014-03-29;Sábado
29;2014-03-30;;2014;3;30;Sim;2014-03-30;Domingo
30;2014-03-31;;2014;3;31;Não;2014-03-31;Segunda-feira
31;2014-04-01;;2014;4;1;Não;2014-04-01;Terça-feira
32;2014-04-02;;2014;4;2;Não;2014-04-02;Quarta-feira
33;2014-04-03;;2014;4;3;Não;2014-04-03;Quinta-feira
34;2014-04-04;;2014;4;4;Não;2014-04-04;Sexta-feira
35;2014-04-05;;2014;4;5;Sim;2014-04-05;Sábado
36;2014-04-06;;2014;4;6;Sim;2014-04-06;Domingo
37;2014-04-07;;2014;4;7;Não;2014-04-07;Segunda-feira
38;2014-04-08;;2014;4;8;Não;2014-04-08;Terça-feira
39;2014-04-09;;2014;4;9;Não;2014-04-09;Quarta-feira
40;2014-04-10;;2014;4;10;Não;2014-04-10;Quinta-feira
41;2014-04-11;;2014;4;11;Não;2014-04-11;Sexta-feira
42;2014-04-12;;2014;4;12;Sim;2014-04-12;Sábado
43;2014-04-13;;2014;4;13;Sim;2014-04-13;Domingo
44;2014-04-14;;2014;4;14;Não;2014-04-14;Segunda-feira
45;2014-04-15;;2014;4;15;Não;2014-04-15;Terça-feira
46;2014-04-16;;2014;4;16;Não;2014-04-16;Quarta-feira
47;2014-04-17;;2014;4;17;Não;2014-04-17;Quinta-feira
48;2014-04-18;;2014;4;18;Não;2014-04-18;Sexta-feira
49;2014-04-19;;2014;4;19;Sim;2014-04-19;Sábado
50;2014-04-20;;2014;4;20;Sim;2014-04-20;Domingo
51;2014-04-21;;2014;4;21;Não;2014-04-21;Segunda-feira
52;2014-04-22;;2014;4;22;Não;2014-04-22;Terça-feira
53;2014-04-23;;2014;4;23;Não;2014-04-23;Quarta-feira
54;2014-04-24;;2014;4;24;Não;2014-04-24;Quinta-feira
55;2014-04-25;;2014;4;25;Não;2014-04-25;Sexta-feira
56;2014-04-26;;2014;4;26;Sim;2014-04-26;Sábado
57;2014-04-27;;2014;4;27;Sim;2014-04-27;Domingo
58;2014-04-28;;2014;4;28;Não;2014-04-28;Segunda-feira
59;2014-04-29;;2014;4;29;Não;2014-04-29;Terça-feira
60;2014-04-30;;2014;4;30;Não;2014-04-30;Quarta-feira
61;2014-05-01;;2014;5;1;Não;2014-05-01;Quinta-feira
62;2014-05-02;;2014;5;2;Não;2014-05-02;Sexta-feira
63;2014-05-03;;2014;5;3;Sim;2014-05-03;Sábado
64;2014-05-04;;2014;5;4;Sim;2014-05-04;Domingo
65;2014-05-05;;2014;5;5;Não;2014-05-05;Segunda-feira
66;2014-05-06;;2014;5;6;Não;2014-05-06;Terça-feira
67;2014-05-07;;2014;5;7;Não;2014-05-07;Quarta-feira
68;2014-05-08;;2014;5;8;Não;2014-05-08;Quinta-feira
69;2014-05-09;;2014;5;9;Não;2014-05-09;Sexta-feira
70;2014-05-10;;2014;5;10;Sim;2014-05-10;Sábado
71;2014-05-11;;2014;5;11;Sim;2014-05-11;Domingo
72;2014-05-12;;2014;5;12;Não;2014-05-12;Segunda-feira
73;2014-05-13;;2014;5;13;Não;2014-05-13;Terça-feira
74;2014-05-14;;2014;5;14;Não;2014-05-14;Quarta-feira
75;2014-05-15;;2014;5;15;Não;2014-05-15;Quinta-feira
76;2014-05-16;;2014;5;16;Não;2014-05-16;Sexta-feira
77;2014-05-17;;2014;5;17;Sim;2014-05-17;Sábado
78;2014-05-18;;2014;5;18;Sim;2014-05-18;Domingo
79;2014-05-19;;2014;5;19;Não;2014-05-19;Segunda-feira
80;2014-05-20;;2014;5;20;Não;2014-05-20;Terça-feira
81;2014-05-21;;2014;5;21;Não;2014-05-21;Quarta-feira
82;2014-05-22;;2014;5;22;Não;2014-05-22;Quinta-feira
83;2014-05-23;;2014;5;23;Não;2014-05-23;Sexta-feira
84;2014-05-24;;2014;5;24;Sim;2014-05-24;Sábado
85;2014-05-25;;2014;5;25;Sim;2014-05-25;Domingo
86;2014-05-26;;2014;5;26;Não;2014-05-26;Segunda-feira
87;2014-05-27;;2014;5;27;Não;2014-05-27;Terça-feira
88;2014-05-28;;2014;5;28;Não;2014-05-28;Quarta-feira
89;2014-05-29;;2014;5;29;Não;2014-05-29;Quinta-feira
