sk_tipo_acidente;causa_acidente;descricao_detalhada
1;Colisão entre veículos;Moto
2;Acidente com ciclista;Ciclista
3;Não classificado;Pedestre
4;Atropelamento de animal;Acidente com animal
5;Colisão entre veículos;Caminhão
6;Colisão entre veículos;Taxi
7;Colisão entre veículos;Onibus
8;Colisão entre veículos;Ciclomotor
9;Colisão entre veículos;Ônibus
10;Acidente com ciclista;Acidente com morte
11;Colisão entre veículos;Táxi
12;Colisão entre veículos;Acidente com morte
13;Não classificado;Carroça
14;Não classificado;Acidente com morte
15;Não classificado;Moto
16;Atropelamento de pedestre;Pedestre
17;Não classificado;Ciclomotor
18;Não classificado;Táxi
19;Não classificado;Ônibus
20;Atropelamento de pedestre;Ciclista
21;Não classificado;Caminhão
22;Atropelamento de pedestre;Carroça
23;Atropelamento de pedestre;Acidente com morte
24;Colisão entre veículos;COLISÃO ENTRE UM CAMINHÃO E UMA BICICLETA
25;Colisão entre veículos;AUTO - BICICLETA
26;Colisão entre veículos;AUTO E BICICLETA
27;Colisão entre veículos;COLISÃO COM VITIMA ENTRE UM AUTO-PASSEIO E UMA BICICLETA
28;Colisão entre veículos;COLISÃO MOTO E BICICLETA
29;Colisão entre veículos;COLISÃO A CICLISTA
30;Colisão entre veículos;
31;Colisão entre veículos;AUTO E CINQUENTINHA
32;Colisão entre veículos;COLC/V
33;Colisão entre veículos;CINQUENTINHA E AUTO
34;Colisão entre veículos;COLISÃO ENTRE DUAS 50CC
35;Colisão entre veículos;SEM VÍTIMAS
36;Colisão entre veículos;CELTA X CINQUENTINHA
37;Colisão entre veículos;COM UMA VÍTIMA( VEICULOS REMOVIDO PARAO ACOSTAMENTOS)
38;Colisão entre veículos;C/V ENTRE AUTO E CIQUENTINHA
39;Colisão entre veículos;COLISAO ENTRE DUAS MOTOS COM VITIMA
40;Colisão entre veículos;COLISÃO COM VITIMA ENTRE UM AUTO-PASSEIO E UMA MOTO
41;Colisão entre veículos;COLISÃO ENTRE MOTOCICLETA E AUTOMOVEL
42;Colisão entre veículos;COLISÃO ENTRE UMA MOTOCICLETA E UM AUTOMOVEL
43;Colisão entre veículos;MOTO E AUTO
