sk_acidente;sk_tempo;sk_local;sk_tipo_acidente;sk_ocorrencia;sk_veiculo;quantidade_vitimas;quantidade_veiculos
1;1;1;1;1;1;1;1
2;2;2;1;1;1;1;1
3;3;3;2;1;2;1;1
4;3;4;3;1;3;1;1
5;4;5;3;1;3;1;1
6;5;6;3;1;3;1;1
7;6;7;2;1;2;1;1
8;6;8;3;1;3;1;1
9;6;9;3;1;3;1;1
10;7;10;3;1;3;1;1
11;8;11;3;1;3;1;1
12;8;12;3;1;3;1;1
13;9;13;3;1;3;1;1
14;9;14;3;1;3;1;1
15;9;15;3;1;3;1;1
16;9;16;3;1;3;1;1
17;10;17;2;1;2;1;1
18;11;18;3;1;3;1;1
19;11;19;3;1;3;1;1
20;11;20;3;1;3;1;1
21;12;21;3;1;3;1;1
22;13;22;3;1;3;1;1
23;14;23;3;1;3;1;1
24;15;24;3;1;3;1;1
25;15;25;3;1;3;1;1
26;16;26;3;1;3;1;1
27;16;27;3;1;3;1;1
28;17;28;2;1;2;1;1
29;17;29;3;1;3;1;1
30;17;30;3;1;3;1;1
31;17;31;4;1;3;1;1
32;18;32;4;1;3;1;1
33;19;33;3;1;3;1;1
34;20;34;3;1;3;1;1
35;21;35;3;1;3;1;1
36;22;36;2;1;2;1;1
37;22;37;3;1;3;1;1
38;23;38;2;1;2;1;1
39;23;39;3;1;3;1;1
40;24;40;2;1;2;1;1
41;24;41;3;1;3;1;1
42;24;42;3;1;3;1;1
43;25;43;2;1;2;1;1
44;25;44;3;1;3;1;1
45;26;45;3;1;3;1;1
46;27;46;2;1;2;1;1
47;27;47;3;1;3;1;1
48;27;48;3;1;3;1;1
49;27;49;3;1;3;1;1
50;27;50;3;1;3;1;1
51;28;51;3;1;3;1;1
52;29;52;3;1;3;1;1
53;29;53;3;1;3;1;1
54;29;54;3;1;3;1;1
55;29;55;3;1;3;1;1
56;30;56;3;1;3;1;1
57;30;57;3;1;3;1;1
58;31;58;3;1;3;1;1
59;31;59;1;1;1;1;1
60;31;60;1;1;1;1;1
61;31;61;5;1;1;1;1
62;31;62;1;1;1;1;1
63;31;63;1;1;1;1;1
64;31;64;1;1;1;1;1
65;32;65;3;1;3;1;1
66;32;66;6;1;1;1;1
67;32;67;7;1;1;1;1
68;32;68;6;1;1;1;1
69;32;69;1;1;1;1;1
70;32;70;1;1;1;1;1
71;32;71;1;1;1;1;1
72;33;72;1;1;1;1;1
73;33;73;1;1;1;1;1
74;33;74;1;1;1;1;1
75;34;75;3;1;3;1;1
76;34;76;1;1;1;1;1
77;34;77;1;1;1;1;1
78;34;78;1;1;1;1;1
79;34;79;1;1;1;1;1
80;34;80;1;1;1;1;1
81;35;81;1;1;1;1;1
82;35;82;6;1;1;1;1
83;35;83;8;1;1;1;1
84;35;84;1;1;1;1;1
85;35;85;6;1;1;1;1
86;36;86;3;1;3;1;1
87;36;87;3;1;3;1;1
88;36;88;1;1;1;1;1
89;36;89;1;1;1;1;1
90;37;90;3;1;3;1;1
91;37;91;1;1;1;1;1
92;37;92;1;1;1;1;1
93;37;93;1;1;1;1;1
94;37;94;8;1;1;1;1
95;37;95;8;1;1;1;1
96;37;96;1;1;1;1;1
97;37;97;1;1;1;1;1
98;37;98;1;1;1;1;1
99;37;99;1;1;1;1;1
100;38;100;3;1;3;1;1
101;38;101;3;1;3;1;1
102;38;102;3;1;3;1;1
103;38;103;1;1;1;1;1
104;38;104;1;1;1;1;1
105;38;105;1;1;1;1;1
106;38;106;1;1;1;1;1
107;38;107;1;1;1;1;1
108;38;108;7;1;1;1;1
109;39;109;1;1;1;1;1
110;39;110;1;1;1;1;1
111;40;111;3;1;3;1;1
112;40;112;3;1;3;1;1
113;40;113;3;1;3;1;1
114;40;114;6;1;1;1;1
115;40;115;1;1;1;1;1
116;40;116;1;1;1;1;1
117;41;117;2;1;2;1;1
118;41;118;3;1;3;1;1
119;41;119;3;1;3;1;1
120;41;120;1;1;1;1;1
121;41;121;1;1;1;1;1
122;41;122;1;1;1;1;1
123;41;123;1;1;1;1;1
124;41;124;1;1;1;1;1
125;41;125;1;1;1;1;1
126;41;126;1;1;1;1;1
127;41;127;1;1;1;1;1
128;41;128;1;1;1;1;1
129;42;129;1;1;1;1;1
130;42;130;1;1;1;1;1
131;42;131;1;1;1;1;1
132;42;132;1;1;1;1;1
133;42;133;1;1;1;1;1
134;42;134;1;1;1;1;1
135;42;135;1;1;1;1;1
136;43;136;3;1;3;1;1
137;43;137;3;1;3;1;1
138;43;138;1;1;1;1;1
139;43;139;1;1;1;1;1
140;43;140;1;1;1;1;1
141;43;141;6;1;1;1;1
142;43;142;1;1;1;1;1
143;43;143;1;1;1;1;1
144;43;144;7;1;1;1;1
145;43;145;1;1;1;1;1
