sk_local,bairro,endereco,latitude,longitude
1,AFLITOS,AV CONS ROSA E SILVA,-8.0408171,-34.8984978
2,AFLITOS,AV CONS ROSA E SILVA 1205,-8.0408676,-34.8984978
3,AFLITOS,AV CONS ROSA E SILVA 123,-8.0500885,-34.8966336
4,AFLITOS,AV CONS ROSA E SILVA 2293,-8.0413509,-34.8981893
5,AFLITOS,RUA TELES JUNIOR S/N,-8.0363035,-34.8993333
6,AFOGADOS,ARRUDA,-8.0773306,-34.9090576
7,AFOGADOS,ARRUDA,-8.0701883,-34.9082469
8,AFOGADOS,AV ENGENHEIRO ABDIAS DE CARVALHO,-8.062374,-34.9104309
9,AFOGADOS,AV ENGENHEIRO ABDIAS DE CARVALHO XX,-8.0621961,-34.9096343
10,AFOGADOS,AV ENGENHEIRO ABDIAS DE CARVALHO XX,-8.061965,-34.9091756
11,AFOGADOS,AV MARECHAL MASCARENHAS DE MORAES,-8.0844369,-34.906944
12,AFOGADOS,AV SUL,-8.0779414,-34.8977333
13,AFOGADOS,AV SUL,-8.0811254,-34.905037
14,AFOGADOS,AV SUL,-8.0790833,-34.9015689
15,AFOGADOS,AV SUL,-8.079556,-34.9043691
16,AFOGADOS,AV SUL X,-8.0809528,-34.9049914
17,AFOGADOS,EST DOS REMEDIOS,-8.0691592,-34.9084648
18,AFOGADOS,EST DOS REMEDIOS,-8.078754,-34.9068421
19,AFOGADOS,EST DOS REMEDIOS,-8.0696014,-34.9083482
20,AFOGADOS,EST DOS REMEDIOS,-8.0796888,-34.9067187
21,AFOGADOS,EST DOS REMEDIOS,-8.0752114,-34.9074349
22,AFOGADOS,EST DOS REMEDIOS 1030,-8.0710567,-34.9081014
23,AFOGADOS,EST DOS REMEDIOS 1127,-8.0702095,-34.9082462
24,AFOGADOS,EST DOS REMEDIOS 490,-8.0757133,-34.9073544
25,AFOGADOS,EST DOS REMEDIOS 65,-8.0796303,-34.9067134
26,AFOGADOS,EST DOS REMEDIOS XX,-8.0652687,-34.9081779
27,AFOGADOS,EST DOS REMEDIOS XX,-8.0763998,-34.907233
28,AFOGADOS,LARGO DA PAZ,-8.0819407,-34.9064022
29,AFOGADOS,LARGO DA PAZ XX,-8.0827161,-34.9064559
30,AFOGADOS,PTE DO MOTOCOLOMBO,-8.0811546,-34.9061099
31,AFOGADOS,PTE DO MOTOCOLOMBO,-8.0826683,-34.9066651
32,AFOGADOS,RUA COSME VIANA,-8.0656192,-34.9090683
33,AFOGADOS,RUA COSME VIANA,-8.0711974,-34.9094573
34,AFOGADOS,RUA COSME VIANA,-8.0711696,-34.9094868
35,AFOGADOS,RUA COSME VIANA,-8.0673242,-34.9094009
36,AFOGADOS,RUA COSME VIANA,-8.0709837,-34.9095082
37,AFOGADOS,RUA COSME VIANA,-8.0721256,-34.9092937
