sk_tipo_acidente,causa_acidente,descricao_detalhada
1,Acidente com ciclista,Acidente com morte
2,Acidente com ciclista,Carroça
3,Acidente com ciclista,Ciclista
4,Acidente com ciclista,Ciclomotor
5,Acidente com ciclista,Pedestre
6,Atropelamento de animal,01 CARROÇA TRACÃO ANIMAL; 01 ONIBUS
7,Atropelamento de animal,ATROPELAMENTO DE ANIMAIS
8,Atropelamento de animal,ATROPELAMENTO DE ANIMAL- MOTOQUEIRO ANIMAL
9,Atropelamento de animal,ATROPELAMENTO DE UM ANIMAL ENTRE MOTOCILISTA CONDUTOR SOCORRIDO PELO SAMU
10,Atropelamento de animal,CACHORRO
11,Atropelamento de animal,MOTO ATROPELOU UM ANIMAL
12,Atropelamento de animal,NÃO INFORMADO
13,Atropelamento de animal,ONIBUS ATROPELOU UM MENINO QUE GALOPAVA UM CAVALO
14,Atropelamento de pedestre,01 AUTO 01 MOTO
15,Atropelamento de pedestre,01 MOTO 01 AUTO
16,Atropelamento de pedestre,01 ONIBUS EMPRESA MOBIBRASIL
17,Atropelamento de pedestre,01 PEDESTRE (VT-14 NO LOCAL)
18,Atropelamento de pedestre,2 AUTOS E PEDESTRE; UM DOS CONDUTORES SE EVADIU DO LOCAL
19,Atropelamento de pedestre,ATOPELAMENTO C/V JA SOCORRIDA
20,Atropelamento de pedestre,ATR.C/V
21,Atropelamento de pedestre,ATROLELAMENTO
22,Atropelamento de pedestre,ATROLPELAMENTO ENVOLVENDO MOTO E PEDESTRE
23,Atropelamento de pedestre,ATROPELAMENO DE PEDESTRE
24,Atropelamento de pedestre,ATROPELAMENTO
25,Atropelamento de pedestre,ATROPELAMENTO / PEDESTRE
26,Atropelamento de pedestre,ATROPELAMENTO ;CONDUTOR COM SINTOMAS DE EMBRIAGUES
27,Atropelamento de pedestre,ATROPELAMENTO A PEDESTRE
28,Atropelamento de pedestre,ATROPELAMENTO A UM PEDESTRE
29,Atropelamento de pedestre,ATROPELAMENTO AUTO E PEDESTRE
30,Atropelamento de pedestre,ATROPELAMENTO AUTO PASSEIO
31,Atropelamento de pedestre,ATROPELAMENTO AUTO X PEDESTRE
32,Atropelamento de pedestre,ATROPELAMENTO BOMBEIRO NO LOCAL
33,Atropelamento de pedestre,ATROPELAMENTO C/V
34,Atropelamento de pedestre,ATROPELAMENTO C/V SET.CD
35,Atropelamento de pedestre,ATROPELAMENTO COM 1 VITIMA
36,Atropelamento de pedestre,ATROPELAMENTO COM 2 VITIMAS
37,Atropelamento de pedestre,ATROPELAMENTO COM 2 VITIMAS SOCORRIDOS PELO SAMU
38,Atropelamento de pedestre,ATROPELAMENTO COM DUAS VITIMAS A ESPERA DO SAMU
39,Atropelamento de pedestre,ATROPELAMENTO COM UM IDOSO VITIMA
40,Atropelamento de pedestre,ATROPELAMENTO COM UM PEDESTRE
41,Atropelamento de pedestre,ATROPELAMENTO COM UMA VITIMA
42,Atropelamento de pedestre,ATROPELAMENTO COM UMA VITIMA A ESPERA DO SAMU;CTTU NO LOCAL GM LUANA E SUB INSP ERONILDO NO LOCAL
43,Atropelamento de pedestre,ATROPELAMENTO COM UMA VITIMA GM ERONILDO NO LOCAL
44,Atropelamento de pedestre,ATROPELAMENTO COM UMA VITIMA JA SOCORRIDA
45,Atropelamento de pedestre,ATROPELAMENTO COM UMA VITIMA SOCORRIDA PELOS BOMBEIROS OBS MOTOCICLISTA ENCONTRA SE COM SINTOMAS D
46,Atropelamento de pedestre,ATROPELAMENTO COM VITIMA
47,Atropelamento de pedestre,ATROPELAMENTO COM VITIMA ESPERANDO ATENDIMENTO DO SAMU
48,Atropelamento de pedestre,ATROPELAMENTO COM VITIMA FATAL
49,Atropelamento de pedestre,ATROPELAMENTO COM VITIMA- E CAPOTAMENTO- VEICULO SE ENCONTRA DENTRO DO CANAL
50,Atropelamento de pedestre,ATROPELAMENTO COM VÍTIMA
