sk_acidente,sk_tempo,sk_local,sk_tipo_acidente,sk_ocorrencia,sk_veiculo,quantidade_vitimas,quantidade_veiculos
1,1,4323,1067,12,1,1,1
2,2,2176,1189,12,4,1,1
3,3,3452,1067,12,1,1,1
4,4,3453,3,12,2,1,1
5,4,4322,186,12,6,1,1
6,5,3454,186,12,6,1,1
7,6,3455,186,12,6,1,1
8,7,4324,3,12,2,1,1
9,7,3872,186,12,6,1,1
10,7,4311,186,12,6,1,1
11,8,3708,186,12,6,1,1
12,9,4312,186,12,6,1,1
13,9,4313,186,12,6,1,1
14,10,2361,186,12,6,1,1
15,10,3664,186,12,6,1,1
16,10,3665,186,12,6,1,1
17,10,3662,186,12,6,1,1
18,11,3663,3,12,2,1,1
19,12,4314,186,12,6,1,1
20,12,3666,186,12,6,1,1
21,12,4315,186,12,6,1,1
22,13,3667,186,12,6,1,1
23,14,4316,186,12,6,1,1
24,15,3668,186,12,6,1,1
25,16,3660,186,12,6,1,1
26,16,3669,186,12,6,1,1
27,17,4317,186,12,6,1,1
28,17,3671,186,12,6,1,1
29,18,4318,3,12,2,1,1
30,18,3672,186,12,6,1,1
31,18,3673,186,12,6,1,1
32,18,4319,112,12,6,1,1
33,19,4310,112,12,6,1,1
34,20,4321,186,12,6,1,1
35,21,3674,186,12,6,1,1
36,22,3675,186,12,6,1,1
37,23,3676,186,12,6,1,1
38,23,2036,3,12,2,1,1
39,24,3677,3,12,2,1,1
40,24,4104,186,12,6,1,1
41,25,4325,186,12,6,1,1
42,25,3678,186,12,6,1,1
43,25,3011,3,12,2,1,1
44,26,4326,3,12,2,1,1
45,26,4327,186,12,6,1,1
46,27,4328,186,12,6,1,1
47,28,4329,3,12,2,1,1
48,28,3679,186,12,6,1,1
49,28,4300,186,12,6,1,1
50,28,3650,186,12,6,1,1
51,28,4290,186,12,6,1,1
52,29,3640,186,12,6,1,1
53,30,4291,186,12,6,1,1
54,30,3642,186,12,6,1,1
55,30,4292,186,12,6,1,1
56,30,3641,186,12,6,1,1
57,31,4293,186,12,6,1,1
58,31,4294,186,12,6,1,1
59,32,4295,186,12,6,1,1
60,32,3643,1067,12,1,1,1
61,32,3644,960,12,1,1,1
62,32,3645,1067,12,1,1,1
63,32,4297,1067,12,1,1,1
64,32,4298,1067,12,1,1,1
65,32,4296,1067,12,1,1,1
66,33,4302,1067,12,1,1,1
67,33,4289,1093,12,1,1,1
68,33,4301,1119,12,1,1,1
69,33,3647,1067,12,1,1,1
70,33,4299,1119,12,1,1,1
71,33,3646,186,12,6,1,1
72,33,4303,1067,12,1,1,1
73,34,4305,1067,12,1,1,1
74,34,4306,1067,12,1,1,1
75,34,4304,1067,12,1,1,1
76,35,3652,1067,12,1,1,1
77,35,3648,186,12,6,1,1
78,35,3649,1067,12,1,1,1
79,35,3639,1067,12,1,1,1
80,35,3651,1067,12,1,1,1
81,35,4307,1067,12,1,1,1
82,36,4308,1067,12,1,1,1
83,36,4309,1119,12,1,1,1
84,36,3653,1067,12,1,1,1
85,36,4351,1119,12,1,1,1
86,36,4320,961,12,1,1,1
87,37,4354,1067,12,1,1,1
88,37,4353,1067,12,1,1,1
89,37,3654,186,12,6,1,1
90,37,4352,186,12,6,1,1
91,38,4355,186,12,6,1,1
92,38,3655,1067,12,1,1,1
93,38,4356,1067,12,1,1,1
94,38,4357,1067,12,1,1,1
95,38,3656,961,12,1,1,1
96,38,4358,961,12,1,1,1
97,38,3657,1067,12,1,1,1
98,38,4359,1067,12,1,1,1
99,38,3658,1067,12,1,1,1
100,38,4350,1067,12,1,1,1
101,39,4363,1067,12,1,1,1
102,39,3670,186,12,6,1,1
103,39,4361,1067,12,1,1,1
104,39,4362,1067,12,1,1,1
105,39,3659,186,12,6,1,1
106,39,3702,1067,12,1,1,1
107,39,3703,1067,12,1,1,1
108,39,4364,1093,12,1,1,1
109,39,3701,186,12,6,1,1
110,40,4365,1067,12,1,1,1
111,40,3704,1067,12,1,1,1
112,41,4366,186,12,6,1,1
