sk_tempo,data_acidente,ano,mes,dia,hora_acidente,dia_semana,fim_de_semana
1,2014-02-24,2014,2,24,,Segunda-feira,Não
2,2014-02-25,2014,2,25,,Terça-feira,Não
3,2014-02-28,2014,2,28,,Sexta-feira,Não
4,2014-03-01,2014,3,1,,Sábado,Sim
5,2014-03-02,2014,3,2,,Domingo,Sim
6,2014-03-03,2014,3,3,,Segunda-feira,Não
7,2014-03-04,2014,3,4,,Terça-feira,Não
8,2014-03-05,2014,3,5,,Quarta-feira,Não
9,2014-03-06,2014,3,6,,Quinta-feira,Não
10,2014-03-07,2014,3,7,,Sexta-feira,Não
11,2014-03-09,2014,3,9,,Domingo,Sim
12,2014-03-10,2014,3,10,,Segunda-feira,Não
13,2014-03-11,2014,3,11,,Terça-feira,Não
14,2014-03-12,2014,3,12,,Quarta-feira,Não
15,2014-03-13,2014,3,13,,Quinta-feira,Não
16,2014-03-14,2014,3,14,,Sexta-feira,Não
17,2014-03-15,2014,3,15,,Sábado,Sim
18,2014-03-16,2014,3,16,,Domingo,Sim
19,2014-03-17,2014,3,17,,Segunda-feira,Não
20,2014-03-18,2014,3,18,,Terça-feira,Não
21,2014-03-19,2014,3,19,,Quarta-feira,Não
22,2014-03-20,2014,3,20,,Quinta-feira,Não
23,2014-03-21,2014,3,21,,Sexta-feira,Não
24,2014-03-22,2014,3,22,,Sábado,Sim
25,2014-03-23,2014,3,23,,Domingo,Sim
26,2014-03-25,2014,3,25,,Terça-feira,Não
27,2014-03-26,2014,3,26,,Quarta-feira,Não
28,2014-03-28,2014,3,28,,Sexta-feira,Não
29,2014-03-29,2014,3,29,,Sábado,Sim
30,2014-03-30,2014,3,30,,Domingo,Sim
31,2014-03-31,2014,3,31,,Segunda-feira,Não
32,2014-04-01,2014,4,1,,Terça-feira,Não
33,2014-04-02,2014,4,2,,Quarta-feira,Não
34,2014-04-03,2014,4,3,,Quinta-feira,Não
35,2014-04-04,2014,4,4,,Sexta-feira,Não
36,2014-04-05,2014,4,5,,Sábado,Sim
37,2014-04-06,2014,4,6,,Domingo,Sim
38,2014-04-07,2014,4,7,,Segunda-feira,Não
39,2014-04-08,2014,4,8,,Terça-feira,Não
40,2014-04-09,2014,4,9,,Quarta-feira,Não
41,2014-04-10,2014,4,10,,Quinta-feira,Não
42,2014-04-11,2014,4,11,,Sexta-feira,Não
43,2014-04-12,2014,4,12,,Sábado,Sim
44,2014-04-13,2014,4,13,,Domingo,Sim
45,2014-04-14,2014,4,14,,Segunda-feira,Não
46,2014-04-15,2014,4,15,,Terça-feira,Não
47,2014-04-16,2014,4,16,,Quarta-feira,Não
48,2014-04-17,2014,4,17,,Quinta-feira,Não
49,2014-04-18,2014,4,18,,Sexta-feira,Não
50,2014-04-19,2014,4,19,,Sábado,Sim
51,2014-04-20,2014,4,20,,Domingo,Sim
52,2014-04-21,2014,4,21,,Segunda-feira,Não
53,2014-04-22,2014,4,22,,Terça-feira,Não
54,2014-04-23,2014,4,23,,Quarta-feira,Não
55,2014-04-24,2014,4,24,,Quinta-feira,Não
56,2014-04-25,2014,4,25,,Sexta-feira,Não
57,2014-04-26,2014,4,26,,Sábado,Sim
58,2014-04-27,2014,4,27,,Domingo,Sim
59,2014-04-28,2014,4,28,,Segunda-feira,Não
60,2014-04-29,2014,4,29,,Terça-feira,Não
61,2014-04-30,2014,4,30,,Quarta-feira,Não
62,2014-05-01,2014,5,1,,Quinta-feira,Não
63,2014-05-02,2014,5,2,,Sexta-feira,Não
64,2014-05-03,2014,5,3,,Sábado,Sim
65,2014-05-04,2014,5,4,,Domingo,Sim
66,2014-05-05,2014,5,5,,Segunda-feira,Não
67,2014-05-06,2014,5,6,,Terça-feira,Não
68,2014-05-07,2014,5,7,,Quarta-feira,Não
69,2014-05-08,2014,5,8,,Quinta-feira,Não
70,2014-05-09,2014,5,9,,Sexta-feira,Não
71,2014-05-10,2014,5,10,,Sábado,Sim
72,2014-05-11,2014,5,11,,Domingo,Sim
73,2014-05-12,2014,5,12,,Segunda-feira,Não
74,2014-05-13,2014,5,13,,Terça-feira,Não
75,2014-05-14,2014,5,14,,Quarta-feira,Não
76,2014-05-15,2014,5,15,,Quinta-feira,Não
77,2014-05-16,2014,5,16,,Sexta-feira,Não
78,2014-05-17,2014,5,17,,Sábado,Sim
79,2014-05-18,2014,5,18,,Domingo,Sim
80,2014-05-19,2014,5,19,,Segunda-feira,Não
81,2014-05-20,2014,5,20,,Terça-feira,Não
82,2014-05-21,2014,5,21,,Quarta-feira,Não
83,2014-05-22,2014,5,22,,Quinta-feira,Não
84,2014-05-23,2014,5,23,,Sexta-feira,Não
85,2014-05-24,2014,5,24,,Sábado,Sim
86,2014-05-25,2014,5,25,,Domingo,Sim
87,2014-05-26,2014,5,26,,Segunda-feira,Não
88,2014-05-27,2014,5,27,,Terça-feira,Não
89,2014-05-28,2014,5,28,,Quarta-feira,Não
90,2014-05-29,2014,5,29,,Quinta-feira,Não
91,2014-05-30,2014,5,30,,Sexta-feira,Não
92,2014-05-31,2014,5,31,,Sábado,Sim
93,2014-06-01,2014,6,1,,Domingo,Sim
94,2014-06-02,2014,6,2,,Segunda-feira,Não
95,2014-06-03,2014,6,3,,Terça-feira,Não
96,2014-06-04,2014,6,4,,Quarta-feira,Não
97,2014-06-05,2014,6,5,,Quinta-feira,Não
98,2014-06-06,2014,6,6,,Sexta-feira,Não
99,2014-06-07,2014,6,7,,Sábado,Sim
100,2014-06-08,2014,6,8,,Domingo,Sim
101,2014-06-09,2014,6,9,,Segunda-feira,Não
102,2014-06-10,2014,6,10,,Terça-feira,Não
103,2014-06-11,2014,6,11,,Quarta-feira,Não
104,2014-06-12,2014,6,12,,Quinta-feira,Não
105,2014-06-13,2014,6,13,,Sexta-feira,Não
106,2014-06-14,2014,6,14,,Sábado,Sim
107,2014-06-15,2014,6,15,,Domingo,Sim
108,2014-06-16,2014,6,16,,Segunda-feira,Não
109,2014-06-17,2014,6,17,,Terça-feira,Não
110,2014-06-18,2014,6,18,,Quarta-feira,Não
111,2014-06-19,2014,6,19,,Quinta-feira,Não
112,2014-06-20,2014,6,20,,Sexta-feira,Não
113,2014-06-21,2014,6,21,,Sábado,Sim
114,2014-06-22,2014,6,22,,Domingo,Sim
115,2014-06-23,2014,6,23,,Segunda-feira,Não
116,2014-06-24,2014,6,24,13:41:00,Terça-feira,Não
117,2014-06-24,2014,6,24,,Terça-feira,Não
118,2014-06-25,2014,6,25,,Quarta-feira,Não
119,2014-06-27,2014,6,27,,Sexta-feira,Não
120,2014-06-28,2014,6,28,,Sábado,Sim
121,2014-06-29,2014,6,29,,Domingo,Sim
122,2014-06-30,2014,6,30,,Segunda-feira,Não
123,2014-07-01,2014,7,1,,Terça-feira,Não
124,2014-07-02,2014,7,2,,Quarta-feira,Não
125,2014-07-03,2014,7,3,,Quinta-feira,Não
126,2014-07-04,2014,7,4,,Sexta-feira,Não
127,2014-07-05,2014,7,5,,Sábado,Sim
128,2014-07-06,2014,7,6,,Domingo,Sim
129,2014-07-07,2014,7,7,,Segunda-feira,Não
130,2014-07-08,2014,7,8,,Terça-feira,Não
131,2014-07-09,2014,7,9,,Quarta-feira,Não
132,2014-07-10,2014,7,10,,Quinta-feira,Não
133,2014-07-11,2014,7,11,23:51:00,Sexta-feira,Não
134,2014-07-11,2014,7,11,,Sexta-feira,Não
135,2014-07-12,2014,7,12,,Sábado,Sim
136,2014-07-13,2014,7,13,,Domingo,Sim
137,2014-07-14,2014,7,14,,Segunda-feira,Não
138,2014-07-15,2014,7,15,,Terça-feira,Não
139,2014-07-16,2014,7,16,,Quarta-feira,Não
140,2014-07-17,2014,7,17,,Quinta-feira,Não
141,2014-07-18,2014,7,18,,Sexta-feira,Não
142,2014-07-19,2014,7,19,,Sábado,Sim
143,2014-07-20,2014,7,20,,Domingo,Sim
144,2014-07-21,2014,7,21,,Segunda-feira,Não
145,2014-07-22,2014,7,22,,Terça-feira,Não
146,2014-07-23,2014,7,23,,Quarta-feira,Não
147,2014-07-24,2014,7,24,,Quinta-feira,Não
148,2014-07-25,2014,7,25,,Sexta-feira,Não
149,2014-07-26,2014,7,26,,Sábado,Sim
150,2014-07-27,2014,7,27,,Domingo,Sim
151,2014-07-28,2014,7,28,,Segunda-feira,Não
152,2014-07-29,2014,7,29,,Terça-feira,Não
153,2014-07-30,2014,7,30,,Quarta-feira,Não
154,2014-07-31,2014,7,31,,Quinta-feira,Não
155,2014-08-01,2014,8,1,,Sexta-feira,Não
156,2014-08-02,2014,8,2,,Sábado,Sim
157,2014-08-03,2014,8,3,,Domingo,Sim
158,2014-08-04,2014,8,4,,Segunda-feira,Não
159,2014-08-05,2014,8,5,,Terça-feira,Não
160,2014-08-06,2014,8,6,,Quarta-feira,Não
